Account,date,daily_PnL,win_rate,num_trades,avg_trade_size,avg_leverage,long_short_ratio,Classification,leverage_segment,trade_freq_segment,winner_segment,profit_label,sentiment_code,cluster
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-09,0.0,0.0,42,1682.2211904761903,78.0,0.0,Extreme Greed,High,Infrequent,Inconsistent,0,1,2
